date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2018-01-15,W300JVNG,ST4000DM000,4000787030016,1,90,132603786,,,91,0,100,29,80,26064,81,139144027,,,56,38760,100,0,,,100,29,,,,,,,,,,,,,,,99,1,99,1,56,44,100,11,100,0,78,22,100,0,100,5,3,195829,22,22,,,,,99,192,99,192,200,0,,,,,,,,,,,,,,,,,,,100,37970,100,37000026804,100,380683082012,,,,,,,,,,
2018-01-16,Z300H3EK,ST4000DM000,4000787030016,1,119,220295712,,,92,0,100,12,100,34,75,40802743,,,56,38773,100,0,,,100,11,,,,,,,,,,,,,,,99,1,100,0,72,28,100,1,70,30,75,25,100,0,100,2,94,12348,25,25,,,,,100,62,100,62,200,1,,,,,,,,,,,,,,,,,,,100,38698,100,36416410212,100,168376658057,,,,,,,,,,
2018-01-16,Z300MQZW,ST4000DM000,4000787030016,1,117,121609768,,,92,0,100,21,100,0,81,131651965,,,56,38765,100,0,,,100,21,,,,,,,,,,,,,,,99,1,100,0,100,0,100,0,97,3,71,29,100,0,100,7,76,49058,29,29,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,38508,100,29843690268,100,340601604481,,,,,,,,,,
2018-01-17,Z304D0Q8,ST4000DM000,4000787030016,1,119,216020680,,,92,0,100,10,100,0,87,543272451,,,79,18501,100,0,,,100,10,,,,,,,,,,,,,,,99,1,100,0,91,9,100,0,100,0,76,24,100,0,100,0,26,148893,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,17785,100,23657133144,100,62059316467,,,,,,,,,,
2018-01-18,Z304L9KQ,ST4000DM000,4000787030016,1,111,35018496,,,98,0,100,2,100,0,89,889215551,,,79,18965,100,0,,,100,2,,,,,,,,,,,,,,,96,4,100,0,79,21,100,0,100,0,77,23,100,0,100,0,96,9636,23,23,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,,,100,18811,100,42126089888,100,83708410125,,,,,,,,,,
2018-01-18,Z300W1Y6,ST4000DM000,4000787030016,1,115,88221048,,,91,0,100,25,100,40,68,7070684,,,60,35496,100,0,,,100,25,,,,,,,,,,,,,,,99,1,100,0,92,8,100,0,75,25,79,21,100,0,100,15,41,118469,21,21,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,,,100,34598,100,27927083783,100,329718175258,,,,,,,,,,
2018-01-18,Z300WGL6,ST4000DM000,4000787030016,1,118,200218608,,,92,0,100,18,100,0,90,965111178,,,60,35884,100,0,,,100,18,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,94,6,79,21,100,0,100,5,24,153282,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,35361,100,28780891580,100,169016631252,,,,,,,,,,
2018-01-18,Z3025WDQ,ST4000DM000,4000787030016,1,118,190882440,,,93,0,100,12,100,0,86,443003789,,,68,28861,100,0,,,100,12,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,98,2,76,24,100,0,100,5,68,65999,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,28634,100,25926177564,100,294080507767,,,,,,,,,,
2018-01-19,Z302SLZT,ST4000DM000,4000787030016,1,112,49886648,,,91,0,100,12,100,0,88,700091171,,,77,20617,100,0,,,100,12,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,77,23,100,0,100,0,6,189807,23,23,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,18989,100,20987115715,100,207427121862,,,,,,,,,,
2018-01-19,Z305AK5A,ST4000DM000,4000787030016,1,103,93411920,,,97,0,100,3,100,0,89,833373616,,,80,17663,100,0,,,100,3,,,,,,,,,,,,,,,98,2,100,0,100,0,100,0,100,0,76,24,100,0,100,0,96,9568,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,17574,100,39369597464,100,58830825084,,,,,,,,,,
